Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 12 7 0 0.9696 0.4923 1.0267 1.0138 
2022 12 8 0 0.9556 0.4871 1.0257 1.0164 
2022 12 9 0 0.9428 0.4821 1.0248 1.0191 
2022 12 10 0 0.9300 0.4771 1.0239 1.0217 
2022 12 11 0 0.9183 0.4721 1.0232 1.0244 
2022 12 12 0 0.9067 0.4672 1.0225 1.0270 
2022 12 13 0 0.8942 0.4622 1.0218 1.0294 
2022 12 14 0 0.8807 0.4571 1.0210 1.0317 
2022 12 15 0 0.8659 0.4519 1.0202 1.0338 
2022 12 16 0 0.8503 0.4466 1.0193 1.0357 
2022 12 17 0 0.8340 0.4412 1.0185 1.0374 
2022 12 18 0 0.8182 0.4359 1.0176 1.0391 
2022 12 19 0 0.8037 0.4306 1.0168 1.0406 
2022 12 20 0 0.7934 0.4256 1.0161 1.0421 
2022 12 21 0 0.7987 0.4215 1.0156 1.0432 
2022 12 22 0 0.8051 0.4175 1.0152 1.0443 
2022 12 23 0 0.8020 0.4129 1.0145 1.0452 
2022 12 24 0 0.7909 0.4077 1.0136 1.0460 
2022 12 25 0 0.7763 0.4022 1.0127 1.0468 
2022 12 26 0 0.7758 0.3979 1.0124 1.0481 
2022 12 27 0 0.7691 0.3932 1.0121 1.0496 
2022 12 28 0 0.7558 0.3880 1.0115 1.0507 
2022 12 29 0 0.7424 0.3827 1.0109 1.0517 
2022 12 30 0 0.7275 0.3773 1.0103 1.0526 
2022 12 31 0 0.7168 0.3725 1.0100 1.0542 
2023 1 1 0 0.7025 0.3672 1.0096 1.0553 
2023 1 2 0 0.6861 0.3618 1.0090 1.0562 
2023 1 3 0 0.6683 0.3562 1.0084 1.0569 
2023 1 4 0 0.6496 0.3505 1.0077 1.0576 
2023 1 5 0 0.6354 0.3452 1.0071 1.0582 
2023 1 6 0 0.6187 0.3396 1.0065 1.0587 
2023 1 7 0 0.6329 0.3341 1.0043 1.0592 
2023 1 8 0 0.6610 0.3302 1.0030 1.0618 
2023 1 9 0 0.7019 0.3277 1.0029 1.0662 
2023 1 10 0 0.7321 0.3241 1.0018 1.0691 
2023 1 11 0 0.7570 0.3198 1.0004 1.0711 
2023 1 12 0 0.7785 0.3153 0.9988 1.0727 
2023 1 13 0 0.7969 0.3104 0.9969 1.0739 
2023 1 14 0 0.8126 0.3052 0.9948 1.0748 
2023 1 15 0 0.8275 0.3000 0.9927 1.0755 
2023 1 16 0 0.8419 0.2946 0.9905 1.0762 
2023 1 17 0 0.8554 0.2893 0.9883 1.0768 
2023 1 18 0 0.8691 0.2839 0.9861 1.0774 
2023 1 19 0 0.8811 0.2783 0.9837 1.0777 
2023 1 20 0 0.8927 0.2727 0.9813 1.0780 
2023 1 21 0 0.9036 0.2671 0.9789 1.0782 
2023 1 22 0 0.9146 0.2614 0.9764 1.0783 
2023 1 23 0 0.9272 0.2558 0.9740 1.0785 
